_id,CODICE,ISTITUTO,TIPO,COMUNE,ASL,DATA,STATO_IN_PS,ROSSI_ATT,GIALLI_ATT,VERDI_ATT,BIANCHI_ATT,NONESEG_ATT,TOT_ATT,STATO_IN_PS1,ROSSI_TRATT,GIALLI_TRATT,VERDI_TRATT,BIANCHI_TRATT,NONESEG_TRATT,TOT_TRATT,STATO_IN_PS2,ROSSI_OB,GIALLI_OB,VERDI_OB,BIANCHI_OB,TOT_OB,TOT_RT,TUTTI
1,92000,Pol. Univ. Tor Vergata,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,2,22,0,1,25,TRATTAMENTO,2,15,31,0,0,48,OSSERVAZIONE_BREVE,3,5,2,0,10,32,115
2,91900,Sant'Andrea,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,1,1,3,0,0,5,TRATTAMENTO,3,17,13,0,0,33,OSSERVAZIONE_BREVE,0,0,2,0,2,33,73
3,91500,Campus Biomedico,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,2,0,0,2,TRATTAMENTO,0,0,13,0,0,13,OSSERVAZIONE_BREVE,0,1,1,0,2,4,21
4,90600,Pol. Univ. Umberto I,DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,1,17,4,0,22,TRATTAMENTO,7,11,17,1,0,36,OSSERVAZIONE_BREVE,0,0,0,0,0,55,113
5,90501,Pol. Univ. A. Gemelli,DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,11,0,0,11,TRATTAMENTO,3,11,39,0,0,53,OSSERVAZIONE_BREVE,0,5,11,0,16,61,141
6,90402,Bambino Gesu' Palidoro,PS,Palidoro,RM3,2021-07-15T16:58:00,ATTESA,0,0,1,1,0,2,TRATTAMENTO,0,0,1,0,0,1,OSSERVAZIONE_BREVE,0,0,0,0,0,0,3
7,90401,Bambino Gesu',DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,0,1,0,1,TRATTAMENTO,0,0,10,0,0,10,OSSERVAZIONE_BREVE,0,0,0,0,0,3,14
8,90200,San Giovanni Addolorata,DEA II,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,1,10,1,0,12,TRATTAMENTO,3,6,6,3,0,18,OSSERVAZIONE_BREVE,0,3,0,0,3,18,51
9,90100,San Camillo-Forlanini,DEA II,Roma,RM3,2021-07-15T16:58:00,ATTESA,1,0,9,0,0,10,TRATTAMENTO,1,6,23,0,0,30,OSSERVAZIONE_BREVE,1,3,3,0,7,54,101
10,29400,Policlinico Casilino,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,29,0,3,32,TRATTAMENTO,0,13,22,0,0,35,OSSERVAZIONE_BREVE,0,0,0,0,0,28,95
11,28501,San Filippo Neri,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,1,0,0,1,TRATTAMENTO,2,7,14,0,0,23,OSSERVAZIONE_BREVE,0,2,0,0,2,9,35
12,27100,Belcolle,DEA I,Viterbo,VT,2021-07-15T16:58:00,ATTESA,0,1,2,0,1,4,TRATTAMENTO,3,9,6,0,0,18,OSSERVAZIONE_BREVE,1,5,1,0,7,16,45
13,26700,Sandro Pertini,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,2,7,0,0,9,TRATTAMENTO,3,6,15,0,0,24,OSSERVAZIONE_BREVE,1,0,1,0,2,50,85
14,22800,Santa Scolastica,DEA I,Cassino,FR,2021-07-15T16:58:00,ATTESA,0,0,2,0,0,2,TRATTAMENTO,0,2,15,0,0,17,OSSERVAZIONE_BREVE,0,0,1,0,1,1,21
15,22600,Santissima Trinita',PS,Sora,FR,2021-07-15T16:58:00,ATTESA,0,0,0,0,0,0,TRATTAMENTO,0,1,3,0,0,4,OSSERVAZIONE_BREVE,0,0,3,0,3,5,12
16,21602,San Benedetto,PS,Alatri,FR,2021-07-15T16:58:00,ATTESA,0,2,2,0,0,4,TRATTAMENTO,0,1,14,0,0,15,OSSERVAZIONE_BREVE,0,2,0,0,2,2,23
17,21601,F. Spaziani,DEA I,Frosinone,FR,2021-07-15T16:58:00,ATTESA,0,4,9,0,0,13,TRATTAMENTO,6,11,9,0,0,26,OSSERVAZIONE_BREVE,0,2,1,0,3,11,53
18,21500,Citta' di Aprilia,PS,Aprilia,LT,2021-07-15T16:58:00,ATTESA,0,0,0,0,0,0,TRATTAMENTO,1,1,3,0,0,5,OSSERVAZIONE_BREVE,0,0,0,0,0,1,6
19,20600,Dono Svizzero,DEA I,Formia,LT,2021-07-15T16:58:00,ATTESA,0,0,4,0,0,4,TRATTAMENTO,0,4,18,0,0,22,OSSERVAZIONE_BREVE,0,0,0,0,0,4,30
20,20402,San Giovanni di Dio,PS,Fondi,LT,2021-07-15T16:58:00,ATTESA,0,0,0,0,0,0,TRATTAMENTO,0,3,2,0,0,5,OSSERVAZIONE_BREVE,0,0,0,0,0,2,7
21,20401,A. Fiorini,PS,Terracina,LT,2021-07-15T16:58:00,ATTESA,0,0,2,1,0,3,TRATTAMENTO,0,3,10,0,0,13,OSSERVAZIONE_BREVE,0,0,0,0,0,3,19
22,20000,Santa Maria Goretti,DEA I,Latina,LT,2021-07-15T16:58:00,ATTESA,0,0,20,0,0,20,TRATTAMENTO,0,2,30,0,0,32,OSSERVAZIONE_BREVE,5,1,9,0,15,36,103
23,18000,Aurelia Hospital,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,5,0,0,5,TRATTAMENTO,0,5,12,0,0,17,OSSERVAZIONE_BREVE,0,0,0,0,0,2,24
24,7600,Madre G. Vannini,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,6,0,1,7,TRATTAMENTO,1,2,6,0,0,9,OSSERVAZIONE_BREVE,0,0,6,0,6,0,22
25,7400,Cristo Re,PS,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,1,0,0,1,TRATTAMENTO,0,1,8,0,0,9,OSSERVAZIONE_BREVE,0,0,0,0,0,0,10
26,7300,San Carlo di Nancy,PS,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,2,14,0,0,16,TRATTAMENTO,0,3,4,0,0,7,OSSERVAZIONE_BREVE,0,0,0,0,0,0,23
27,7200,San Giovanni Calibita-FBF,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,3,0,0,3,TRATTAMENTO,0,2,9,1,0,12,OSSERVAZIONE_BREVE,0,0,0,0,0,3,18
28,7100,San Pietro-FBF,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,5,1,0,6,TRATTAMENTO,3,6,15,0,0,24,OSSERVAZIONE_BREVE,0,0,0,0,0,8,38
29,6602,C.T.O. Andrea Alesini,PS SPEC.,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,1,0,0,1,TRATTAMENTO,0,0,3,0,0,3,OSSERVAZIONE_BREVE,0,0,0,0,0,0,4
30,6601,Sant'Eugenio,DEA I,Roma,RM2,2021-07-15T16:58:00,ATTESA,0,0,4,0,1,5,TRATTAMENTO,4,12,24,0,0,40,OSSERVAZIONE_BREVE,0,0,0,0,0,17,62
31,6100,G. Battista Grassi,DEA I,Roma,RM3,2021-07-15T16:58:00,ATTESA,0,0,6,0,0,6,TRATTAMENTO,2,4,6,0,0,12,OSSERVAZIONE_BREVE,0,1,4,0,5,6,29
32,5900,Padre Pio,PS,Bracciano,RM4,2021-07-15T16:58:00,ATTESA,0,0,1,0,0,1,TRATTAMENTO,0,1,7,1,0,9,OSSERVAZIONE_BREVE,0,0,1,0,1,5,16
33,5300,San Giovanni Evangelista,DEA I,Tivoli,RM5,2021-07-15T16:58:00,ATTESA,0,1,5,0,0,6,TRATTAMENTO,1,11,16,0,0,28,OSSERVAZIONE_BREVE,0,0,1,0,1,0,35
34,5200,A. Angelucci,PS,Subiaco,RM5,2021-07-15T16:58:00,ATTESA,0,0,0,0,0,0,TRATTAMENTO,0,1,4,0,0,5,OSSERVAZIONE_BREVE,0,0,0,0,0,0,5
35,5100,Coniugi Bernardini,PS,Palestrina,RM5,2021-07-15T16:58:00,ATTESA,0,1,1,0,0,2,TRATTAMENTO,0,5,6,0,0,11,OSSERVAZIONE_BREVE,1,1,3,0,5,1,19
36,4900,Santissimo Gonfalone,PS,Monterotondo,RM5,2021-07-15T16:58:00,ATTESA,0,0,3,0,0,3,TRATTAMENTO,2,2,4,0,0,8,OSSERVAZIONE_BREVE,0,0,0,0,0,0,11
37,4600,L. Parodi Delfino,PS,Colleferro,RM5,2021-07-15T16:58:00,ATTESA,0,0,2,0,0,2,TRATTAMENTO,1,5,3,0,0,9,OSSERVAZIONE_BREVE,3,0,0,0,3,4,18
38,4500,San Paolo,DEA I,Civitavecchia,RM4,2021-07-15T16:58:00,ATTESA,0,0,4,1,1,6,TRATTAMENTO,0,1,6,0,0,7,OSSERVAZIONE_BREVE,2,2,3,0,7,3,23
39,3000,Oftalmico,PS SPEC.,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,0,1,4,0,5,TRATTAMENTO,0,0,3,2,0,5,OSSERVAZIONE_BREVE,0,0,0,0,0,0,10
40,2601,Santo Spirito,DEA I,Roma,RM1,2021-07-15T16:58:00,ATTESA,0,4,3,1,1,9,TRATTAMENTO,3,6,7,0,0,16,OSSERVAZIONE_BREVE,1,0,1,0,2,10,37
41,1901,San Camillo De Lellis,DEA I,Rieti,RI,2021-07-15T16:58:00,ATTESA,0,4,9,0,0,13,TRATTAMENTO,3,11,14,0,0,28,OSSERVAZIONE_BREVE,1,4,2,0,7,11,59
42,700,Ospedale Civile,PS,Tarquinia,VT,2021-07-15T16:58:00,ATTESA,0,0,4,0,1,5,TRATTAMENTO,0,1,4,0,0,5,OSSERVAZIONE_BREVE,0,1,2,0,3,0,13
43,13400,Sant'Anna,PS,Pomezia,RM6,2021-07-15T16:57:00,ATTESA,0,0,0,0,0,0,TRATTAMENTO,1,2,9,0,0,12,OSSERVAZIONE_BREVE,0,0,0,0,0,0,12
44,5400,P. Colombo,DEA I,Velletri,RM6,2021-07-15T16:57:00,ATTESA,0,0,0,0,1,1,TRATTAMENTO,1,1,10,0,0,12,OSSERVAZIONE_BREVE,0,0,0,0,0,14,27
45,4700,San Sebastiano Martire,PS,Frascati,RM6,2021-07-15T16:57:00,ATTESA,0,0,8,0,0,8,TRATTAMENTO,1,1,7,0,0,9,OSSERVAZIONE_BREVE,0,3,1,0,4,0,21
46,300,Andosilla,PS,Civitacastellana,VT,2021-07-15T16:57:00,ATTESA,0,0,3,0,0,3,TRATTAMENTO,0,1,3,0,0,4,OSSERVAZIONE_BREVE,0,0,1,0,1,2,10
47,200,Ospedale Civile,PS,Acquapendente,VT,2021-07-15T16:57:00,ATTESA,0,0,0,0,0,0,TRATTAMENTO,0,0,0,0,0,0,OSSERVAZIONE_BREVE,0,0,0,0,0,0,0
48,29200,Ospedale dei Castelli,PS,Ariccia,RM6,2021-07-15T16:56:00,ATTESA,0,0,2,0,0,2,TRATTAMENTO,0,0,13,0,0,13,OSSERVAZIONE_BREVE,2,6,1,0,9,6,30
49,4300,Ospedali Riuniti,DEA I,Anzio,RM6,2021-07-15T16:56:00,ATTESA,0,0,4,0,0,4,TRATTAMENTO,0,1,12,0,0,13,OSSERVAZIONE_BREVE,2,0,4,0,6,19,42
